actual_minutes,predicted_minutes
79.4,86.7
153.4,49.2
52.0,21.1
8.7,318.1
56.5,99.2
62.3,132.7
97.8,23.8
2.6,51.7
31.3,143.2
13.3,35.2
37.8,36.2
1.7,72.5
41.6,59.5
4.1,45.2
122.9,23.4
28.4,87.8
136.0,40.9
124.1,40.8
0.2,77.8
25.3,32.6
49.7,42.3
10.2,59.7
29.9,33.0
29.9,30.2
9.1,43.4
75.2,58.8
37.4,79.6
74.6,65.5
130.7,53.5
5.1,43.7
48.9,605.4
794.1,522.1
136.9,66.0
9.1,49.3
126.5,61.2
41.4,49.9
21.8,24.7
18.0,23.2
23.7,26.3
79.7,15.4
58.1,31.9
161.7,43.0
13.2,50.8
0.7,72.2
27.5,93.0
70.1,51.5
118.7,46.9
20.5,99.3
66.3,37.4
36.2,39.8
43.4,28.3
779.8,606.8
14.2,48.9
175.5,51.2
94.1,27.7
107.9,36.8
38.4,30.8
39.5,57.6
4.9,52.0
12.7,51.4
238.8,147.0
60.9,43.0
15.7,120.6
43.9,48.3
71.3,28.6
66.4,58.5
60.5,60.6
55.4,51.3
86.3,41.7
120.2,87.5
8.0,47.5
783.2,352.8
123.3,51.5
38.5,27.6
91.3,51.4
59.6,34.4
13.3,42.1
6.6,33.1
123.0,51.6
113.3,34.2
84.5,32.0
35.8,24.3
105.2,36.9
322.9,100.5
97.2,35.4
26.0,45.3
76.7,55.8
21.6,32.4
822.3,425.5
149.3,17.2
6.6,7.9
10.2,45.2
146.1,45.6
56.5,25.9
2.3,45.9
63.3,49.0
16.4,31.3
44.6,97.8
240.0,74.5
18.8,38.2
1.5,47.6
32.3,16.6
276.1,69.7
78.1,27.3
34.2,50.8
823.2,444.2
84.4,45.9
12.0,32.4
29.7,31.4
6.8,106.3
54.5,52.4
86.8,39.8
81.1,40.1
30.5,31.6
27.7,44.2
67.6,30.6
9.4,36.2
47.1,35.6
43.9,40.1
66.4,84.1
17.4,74.1
806.2,473.1
137.3,49.3
12.3,59.6
14.1,90.8
21.6,39.7
20.1,66.3
39.9,32.2
23.6,55.4
157.8,45.3
19.5,54.3
112.6,73.9
41.9,45.8
49.0,87.9
20.3,79.9
10.0,57.5
4.1,70.2
457.4,53.3
31.9,41.3
78.3,38.1
29.9,36.2
26.9,37.9
22.3,37.5
158.5,33.4
121.6,13.7
70.0,44.1
84.9,42.2
412.2,66.3
29.2,39.1
47.2,82.4
36.7,58.2
22.2,44.8
9.0,19.6
1291.5,21.4
72.7,56.4
8.8,33.0
146.0,30.6
70.7,70.5
